timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1535252458080836,0,0,5,3,2,1,0,-2
1535252458080836,2,2,1,1,4,4,2,-1
1535252458080949,0,0,-6,-1,0,0,1,1
1535252458080949,-1,0,6,-3,-3,-3,-1,0
1535252458082842,-2,2,-1,0,-3,0,0,1
1535252458082842,-2,-1,-2,-2,-1,-1,-2,0
1535252458082842,0,2,17,3,0,0,-1,-2
1535252458082842,1,3,-4,0,-1,0,1,-1
1535252458093869,0,-1,0,-1,-2,-2,-1,-2
1535252458093869,1,6,-3,3,1,1,1,2
1535252458097924,-5,-13,-28,-11,-4,-2,-1,-4
1535252458097924,-1,3,49,6,0,1,-3,-2
1535252458108910,-2,-5,-29,-6,-1,-1,-1,-1
1535252458108910,-1,3,17,1,-1,-1,0,-1
1535252458113069,-1,2,7,1,1,1,0,1
1535252458113069,1,-1,-5,1,4,2,1,1
1535252458129637,-1,-3,-2,-2,-1,-1,1,0
1535252458129637,2,1,-9,-8,-3,0,0,0
1535252458143106,-4,-9,-14,-3,-4,-2,-1,-1
1535252458143106,-3,-4,17,5,-3,-3,-2,-1
1535252458153028,0,3,5,1,1,1,-1,2
1535252458153028,-1,-5,-14,-1,-1,-2,-1,-1
1535252458190126,0,-3,-4,-1,0,1,-2,0
1535252458190126,-1,-1,-8,-2,-3,-1,1,0
1535252458192131,0,3,-1,-2,-4,-2,0,-1
1535252458192131,-2,-1,9,-1,-1,0,-2,-2
1535252458192693,1,1,4,0,-1,-3,-2,-3
1535252458192693,1,3,5,0,1,1,-1,0
1535252458195166,-2,-3,-9,-1,-1,0,0,-1
1535252458195166,4,9,-35,2,4,2,4,3
1535252458202158,-5,-5,6,-5,-2,0,0,-4
1535252458202158,0,0,22,7,1,-1,-2,-3
1535252458211182,0,0,9,1,1,0,0,-1
1535252458211182,0,1,-15,-2,-2,-3,0,0
1535252458217877,-1,3,-8,0,0,0,0,2
1535252458217877,2,0,-10,-3,-1,0,0,1
1535252458234243,1,-2,-65,-13,0,0,0,0
1535252458234243,-7,-9,85,6,-4,-4,-6,-5
1535252458240259,0,0,-4,3,1,1,0,1
1535252458240259,-3,-3,4,-1,0,-1,-1,-1
1535252458263325,3,6,-4,3,1,0,-1,0
1535252458263325,0,-3,-15,-4,-2,-1,0,0
1535252458271342,0,4,41,4,-2,-2,-1,0
1535252458271342,-1,-1,-45,-10,-4,-3,-3,-2
1535252458280030,0,-1,18,4,3,1,-1,-1
1535252458280030,-2,-4,-13,-3,0,-1,-2,-2
1535252458280365,-4,-2,16,3,-1,0,2,0
1535252458280365,-1,3,10,2,-2,-1,-2,1
1535252458300419,-1,-3,-1,-3,-5,-1,-2,-1
1535252458300419,0,-1,6,-1,-3,0,-1,1
1535252458301421,0,-5,-31,-5,-2,-3,0,-1
1535252458301421,0,2,-8,2,4,1,2,0
1535252458323550,-2,-5,13,-4,-3,-2,-1,-1
1535252458323550,-1,1,11,2,1,-1,0,-1
1535252458323802,2,4,-5,-3,1,0,-1,0
1535252458323802,-1,-5,5,1,-2,-2,1,0
1535252458338521,-1,-2,-1,2,-4,-3,-1,0
1535252458338521,2,1,-29,-2,1,0,0,0
1535252458338521,0,-2,-8,-6,-1,-1,-1,1
1535252458338521,1,-1,7,-2,-2,0,1,0
1535252458360880,3,7,9,6,3,2,0,0
1535252458360880,-5,-8,15,-6,-3,-2,-3,-3
1535252458361642,-1,-3,-7,-2,0,0,1,-1
1535252458361642,1,-1,9,3,0,1,-1,0
1535252458382640,1,-2,-10,-1,-1,1,-1,0
1535252458382640,2,3,11,4,0,0,0,-1
1535252458383640,0,-1,-9,0,3,-1,-1,1
1535252458383640,-1,-4,-14,-7,0,1,0,-2
1535252458398497,-2,-6,-17,-2,0,0,-1,-1
1535252458398497,1,5,31,3,0,-1,-1,-1
1535252458398681,1,0,-11,1,-2,-4,-2,-2
1535252458398681,-1,0,19,-2,-3,-2,-2,-1
1535252458420762,-1,1,-3,1,1,1,2,0
1535252458420762,-1,-1,-21,0,2,3,1,0
1535252458421741,-1,0,19,0,-1,2,2,-3
1535252458421741,0,-2,-5,-1,-1,0,-1,0
1535252458442798,-1,-2,7,-4,-2,0,1,-1
1535252458442798,-1,-5,-20,-1,-1,-1,0,-1
1535252458443836,1,2,4,3,1,-3,0,1
1535252458443836,0,0,-7,1,1,0,-1,0
1535252458457837,-2,1,2,0,-3,0,-1,0
1535252458457837,-1,-3,18,1,0,-1,0,0
1535252458458840,1,0,-64,-4,-4,0,0,0
1535252458458840,-5,-5,71,-2,-5,-4,-2,-4
1535252458480899,-1,-2,7,2,2,-2,-2,-3
1535252458480899,3,1,-18,1,1,0,-1,0
1535252458481084,1,3,0,0,0,-1,-2,0
1535252458481084,1,0,-21,2,0,3,2,1
1535252458502958,0,-6,6,-3,0,-1,-1,0
1535252458502958,0,-2,4,4,3,1,-1,0
1535252458503961,-2,-3,19,0,-1,0,0,-1
1535252458503961,-1,2,-16,1,-2,-3,-2,-2
1535252458517215,-3,-3,6,0,-1,-1,-1,-2
1535252458517215,0,3,-16,-1,0,1,0,1
1535252458526020,-1,0,6,1,-1,-2,-3,-1
1535252458526020,0,1,-23,-2,-1,-2,1,1
1535252458541060,-3,-5,23,-4,-3,-3,-3,-2
1535252458541060,-1,1,19,-1,-3,-3,-2,-1
1535252458541060,2,-2,-3,0,-1,0,1,-1
1535252458541060,-1,-1,-5,-6,-1,-2,0,0
1535252458563118,2,5,-22,2,2,0,0,0
1535252458563118,0,2,-5,-3,3,2,0,0
1535252458564121,-1,1,-4,0,0,1,0,-1
1535252458564121,-1,-3,-7,0,-1,-2,-1,-1
1535252458579161,-1,0,5,-1,-3,-2,-1,-1
1535252458579161,0,0,-13,0,-1,-2,-3,1
1535252458585178,1,1,1,2,-1,2,1,0
1535252458585178,-2,-4,11,0,0,1,0,-3
1535252458600216,1,1,13,2,-2,-1,-2,1
1535252458600216,0,2,-8,-3,-2,2,2,1
1535252458601218,-4,-7,34,-4,-2,-2,-3,-2
1535252458601218,-1,-2,-35,-7,0,-1,-1,1
1535252458623277,-1,0,4,3,1,1,1,-1
1535252458623277,0,-1,-3,-1,-3,0,-1,-1
1535252458624281,0,-1,1,2,2,-1,1,1
1535252458624281,0,-2,1,1,2,2,2,1
1535252458637314,0,-1,-12,-2,1,-1,-2,0
1535252458637314,0,0,19,0,-1,-2,-1,0
1535252458645338,-5,-2,11,1,-2,-3,0,-2
1535252458645338,0,2,17,2,-1,-1,-1,-2
1535252458660376,-4,0,-5,0,0,0,2,1
1535252458660376,-2,-3,-7,-2,-1,0,-1,-3
1535252458661544,1,0,-3,1,2,4,0,1
1535252458661544,1,3,-9,2,0,0,0,2
1535252458683467,-1,1,19,0,-2,0,-1,-3
1535252458683467,0,-1,-8,-4,-2,-3,-1,0
1535252458683467,0,0,10,0,1,-2,-1,-1
1535252458683467,0,1,-20,1,0,-1,-1,-1
1535252458697475,2,-1,5,-3,-2,-1,0,0
1535252458697475,-2,-4,-7,-2,0,0,0,-2
1535252458705498,-3,-5,7,-5,-4,-1,-1,-2
1535252458705498,0,3,5,2,3,1,0,2
1535252458720675,2,1,-9,-1,0,0,-2,1
1535252458720675,-2,0,3,2,0,-1,-1,0
1535252458721670,1,3,-7,0,-1,0,0,-1
