timestamp,x,y,z
1535252457917436,1.375,0.375,-0.375
1535252457941464,1.875,-0.1875,-1.9375
1535252457956505,1.25,0.4375,-2.375
1535252457977560,-0.75,-0.25,-1.375
1535252458001624,-3.125,-1,-1.375
1535252458016664,-0.75,-0.4375,-0.3125
1535252458068802,2.1875,0.3125,-0.375
1535252458068802,1.3125,0.25,0.75
1535252458077827,0,-0.375,1.6875
1535252458092424,0.75,0.0625,1.125
1535252458106904,0.5,-0.1875,0.5
1535252458127961,0.3125,-0.625,0.5
1535252458152025,1.5625,-0.3125,0.125
1535252458180099,0.75,-0.125,0.0625
1535252458191127,1.0625,0.375,0.3125
1535252458210240,0.625,0.3125,-0.0625
1535252458233660,-0.25,0.0625,0.125
1535252458247981,-0.8125,0.1875,-0.25
1535252458278361,-0.25,0.0625,-0.9375
1535252458285379,1.875,0.1875,-1.625
1535252458307756,1.0625,-0.125,-1.25
1535252458329540,-1.6875,-0.5625,-1.375
1535252458344538,-0.4375,-0.1875,-0.8125
1535252458367597,0.75,0,-0.5625
1535252458389656,-0.25,-0.25,0.6875
1535252458404696,-0.0625,-0.25,1
1535252458427758,1.4375,0.5625,1.4375
1535252458449872,-0.125,0.4375,1.3125
1535252458464856,-0.5,0.625,1.6875
1535252458487918,-0.3125,1,1.5625
1535252458509977,0.1875,0.9375,2.1875
1535252458526501,-0.4375,0.8125,2.375
1535252458547075,-1.375,0.5,2.625
1535252458578159,-0.1875,0.6875,1.6875
1535252458586288,2.3125,0.5625,0.1875
1535252458607234,1,-0.0625,-0.8125
1535252458630297,-0.5,-0.5,-0.8125
1535252458646375,0.3125,-0.1875,-1.1875
1535252458667394,0.4375,-0.125,-1.3125
1535252458690457,0.3125,-0.1875,-0.5625
1535252458706500,-0.125,-0.3125,-0.25
1535252458727662,0.5625,-0.25,0.125
1535252458749657,0.5625,-0.1875,0.3125
1535252458766661,-0.5,-0.1875,-0.25
1535252458790723,0.6875,-0.125,0.0625
1535252458809774,-0.1875,-0.1875,0.25
1535252458826847,-1.25,0.1875,0.75
1535252458847875,0.1875,0.4375,1.75
1535252458869961,1,0.625,2.5
1535252458886073,-0.3125,0.5625,3.625
1535252458907035,-2.5625,0.625,5.0625
1535252458930125,-1.9375,0.3125,7.0625
1535252458948142,1.1875,1.4375,8.3125
1535252458967193,1.3125,2.75,9.9375
1535252458990254,-0.625,2.75,10.9375
1535252459008302,-0.875,2.625,12.875
1535252459027381,-0.4375,2.875,13.4375
1535252459050415,1.6875,3,13.5
1535252459067460,4.25,3.625,13.1875
1535252459087515,2.8125,3.6875,12.4375
1535252459109680,0.4375,3.5,11.3125
1535252459127620,-0.875,2.625,10.625
1535252459147700,0.3125,2.0625,8.8125
1535252459170736,2.9375,2.0625,6.75
1535252459194800,3.6875,2.0625,5.3125
1535252459210013,4,1.125,3.625
1535252459230894,3.1875,0.375,1.5
1535252459247096,2.625,0.4375,-0.375
1535252459270006,1.5,0,-1.8125
1535252459291055,-0.25,-0.4375,-2.5
1535252459307098,-0.875,-0.8125,-3.1875
1535252459329955,-0.4375,-1.0625,-4.0625
1535252459350248,-1.0625,-1.6875,-4.25
1535252459367258,-0.3125,-1.875,-4.125
1535252459390319,0.625,-2,-2.9375
1535252459410400,-0.25,-2.75,-1.1875
1535252459427417,1.3125,-1.5625,0.375
1535252459449515,3.125,-0.0625,5.1875
1535252459473126,-0.0625,0.75,13.375
1535252459486575,-4.1875,1.5625,20
1535252459509637,-1.5625,4.5625,24.25
1535252459531697,6.8125,7.5,30.875
1535252459546737,7.75,8.25,39.1875
1535252459569949,3.9375,9.875,48.125
1535252459591855,2.875,11.5625,57.4375
1535252459620931,4.625,13.625,63.375
1535252459629956,5.1875,15.125,68.6875
1535252459652096,4.875,16.25,74.875
1535252459673106,2.5625,16.5,80.4375
1535252459690117,6.125,15.9375,85.25
1535252459720079,8.125,14.375,88.4375
1535252459733232,8.6875,14,90.5
1535252459749274,8.25,15.6875,92.6875
1535252459772336,5.625,16.6875,96.9375
1535252459793392,3.4375,16.875,99.75
1535252459809435,4.9375,15.375,100.438
1535252459832498,5.625,15.25,105.063
1535252459853551,4.0625,15.5,111.375
1535252459870010,-0.5625,14.25,113.813
1535252459891652,0.75,13.9375,111.563
1535252459912709,6.0625,18.0625,110.063
1535252459929754,7.25,17.1875,110.375
1535252459951889,2.0625,16,113.188
1535252459972869,-5.3125,12.375,111.063
1535252459989915,0.0625,9.875,107.25
1535252460011973,4.875,6.25,105.063
1535252460033314,5.125,5.5,102.625
1535252460050074,-2.25,2.1875,95.75
1535252460073138,3.1875,-4.25,86.1875
1535252460093219,5,-5.9375,85.1875
1535252460109232,-4.5,-7.75,82.8125
1535252460132350,4.125,-7.875,70.5
1535252460153353,-3.6875,-9.8125,72.0625
1535252460169392,-3.0625,-10.625,69.1875
1535252460192454,-5.4375,-15.1875,65.25
1535252460220646,-5.625,-16.9375,65.875
1535252460228668,-9.6875,-17.6875,63.5
1535252460252626,-10.4375,-16.4375,58.0625
1535252460280853,-8.5,-15.75,56.875
1535252460288905,-12.0625,-17.9375,57.375
1535252460311798,-15.4375,-15.3125,51
1535252460332876,-8.75,-12.875,44.9375
1535252460348870,-5.4375,-12.25,41.25
1535252460372991,-9,-11,36.25
1535252460395042,-7.375,-7.625,27.1875
1535252460409029,0.3125,-3.125,17.4375
1535252460432093,3.625,-1.6875,10.25
1535252460455158,3.125,0.625,-0.4375
1535252460476214,6.1875,2,-10.375
1535252460492252,10.5625,4.75,-22.25
1535252460515056,10.4375,4.625,-31
1535252460535370,8.625,4.5625,-36.6875
1535252460552411,6.75,6.125,-43.625
1535252460574470,4.5,6.6875,-51.75
1535252460595563,2.875,7.4375,-60.125
1535252460612574,1.1875,10.3125,-72.5625
1535252460634639,1,11.3125,-82.8125
1535252460655734,3.375,11.8125,-88.875
1535252460671780,0.75,8.1875,-93.6875
1535252460694791,-4.0625,5.25,-97.625
1535252460716199,-5.1875,4.25,-103.25
1535252460731890,-0.5,0.625,-98.75
1535252460754951,-4.9375,-4.4375,-90.0625
1535252460777481,-12.625,-6.125,-85.375
1535252460800070,-10.75,-6.375,-86.3125
1535252460815112,-4.25,-6.3125,-91.125
1535252460835214,0,-4.5,-89.5625
1535252460852213,-3.125,-5.1875,-85.25
1535252460874267,-7.4375,-6.9375,-82.3125
1535252460895358,-8.5625,-7.4375,-83.875
1535252460912444,-5.3125,-6.1875,-85.625
1535252460934962,-3.375,-2.4375,-86
1535252460955612,-3.75,-2.375,-90.3125
1535252460971651,-4.875,-2.5,-91.6875
1535252460994587,-9.3125,-6,-91.4375
1535252461015668,-10.875,-7.4375,-91.625
1535252461039707,-10.3125,-8.1875,-97.0625
1535252461054747,-6.1875,-8.25,-100
1535252461075804,-3.6875,-10.6875,-98.125
1535252461091927,-10.625,-15.4375,-96.8125
1535252461114908,-12.4375,-18.9375,-100.438
1535252461135964,-6.625,-20.8125,-99.375
1535252461151005,-3.3125,-23.1875,-93.6875
1535252461175069,-5.8125,-24.5,-93.75
1535252461196157,-2.25,-25,-93.375
1535252461218218,-9.25,-26.375,-83.6875
1535252461234262,-22.4375,-27.375,-76.5
1535252461255319,-27.125,-26,-73.8125
1535252461271644,-15.25,-19.75,-75.375
1535252461294390,-5.1875,-16.375,-68.6875
1535252461317450,-6.3125,-14.5625,-59.25
1535252461331590,-3.5625,-12.375,-60.0625
1535252461354546,3.1875,-11.0625,-58.625
1535252461377607,6.625,-12.4375,-50.8125
1535252461391644,1.8125,-12.0625,-45.4375
1535252461414708,0.1875,-9.875,-51.25
1535252461436801,4,-9.125,-51.75
1535252461451805,2.6875,-11.4375,-41.0625
1535252461474866,-8.5625,-11.25,-34.3125
1535252461496926,-6,-7.9375,-37.875
1535252461517988,8.5625,-5.6875,-37
1535252461535026,10.8125,-6.0625,-29.6875
1535252461563213,-1,-6,-25.375
1535252461578143,-1.625,-4.9375,-24.875
1535252461594242,7.3125,-3.375,-20.8125
1535252461617246,2.875,-2.5,-14.0625
1535252461645321,-3.125,-0.4375,-8.4375
1535252461654478,0.5,1.75,-3.1875
1535252461677406,0.3125,2.9375,4.5625
1535252461691444,-5,3.875,10.6875
1535252461714504,-2.875,5.3125,16.25
1535252461737563,2.25,7.5625,23.0625
1535252461758622,1.1875,9.3125,30
1535252461774743,-1.3125,10.375,35.6875
1535252461796755,3.9375,10.75,39.4375
1535252461817831,6.3125,11.125,42.5
1535252461834823,4.5625,12.1875,45.3125
1535252461864906,4.6875,13.5,49.0625
1535252461885999,6.4375,13.1875,53.0625
1535252461894988,9.25,13.125,57.9375
1535252461917045,9.5625,12.625,60.8125
1535252461938141,13.1875,12.1875,62.3125
1535252461954184,16.125,12.3125,65.6875
1535252461977203,10.9375,12.5625,70.0625
1535252461998314,5.9375,13.9375,72.6875
1535252462014308,7.75,17.0625,75.25
1535252462037369,8,17.6875,78.3125
1535252462058598,10.875,16.625,81.3125
1535252462073511,12,15.9375,83.25
1535252462097527,12.25,15.125,84.4375
1535252462118688,17.4375,11.5625,85.3125
1535252462142644,23.75,7.1875,85.9375
1535252462157637,23.8125,6.125,87.0625
1535252462178739,20.3125,5.5625,90.8125
1535252462193783,19.625,5.8125,93.25
1535252462216988,20.5625,4.4375,93.1875
1535252462237934,17.625,6.0625,94.5
1535252462253939,10.375,8.6875,97.125
1535252462277000,6.3125,8.875,98.4375
1535252462300061,10.5625,6.3125,99
1535252462314229,14.375,5.6875,94.8125
1535252462337165,12.25,5.75,92.75
1535252462359224,9.6875,6.125,94.4375
1535252462374530,4.25,7.1875,92.8125
1535252462397471,4.75,4.875,90
1535252462419854,9.5,5.5625,87.25
1535252462442440,11.4375,6.75,85.8125
1535252462456516,9.5625,2.6875,88.3125
1535252462496584,3.5,-2.4375,88.75
