timestamp,x,y,z,,,
1.53527E+15,0.0625,-0.125,-2.8125,-8.9375,-10.4375,-42
1.53527E+15,-1.4375,-0.5625,-2.125,17.25,13.75,50.0625
1.53527E+15,-2.125,-0.625,-1.75,,,
1.53527E+15,-1.5625,-0.3125,-1.5,,,
1.53527E+15,-0.5625,-0.75,-0.8125,,,
1.53527E+15,-0.9375,-0.9375,-0.5,,,
1.53527E+15,-0.125,-0.625,-0.125,,,
1.53527E+15,-0.4375,-0.625,-0.25,,,
1.53527E+15,-0.5,-0.6875,0.1875,,,
1.53527E+15,-0.75,-0.6875,0.75,,,
1.53527E+15,-0.625,-0.4375,0.625,,,
1.53527E+15,-0.125,-0.1875,0.5625,,,
1.53527E+15,0.5,-0.375,0.0625,,,
1.53527E+15,-0.5,-0.8125,0.0625,,,
1.53527E+15,0.4375,-0.4375,0.125,,,
1.53527E+15,0.1875,-0.5625,-0.125,,,
1.53527E+15,-0.1875,-0.625,-0.0625,,,
1.53527E+15,0,-0.6875,-0.625,,,
1.53527E+15,0.125,-1.25,-0.75,,,
1.53527E+15,-0.6875,-0.625,-0.9375,,,
1.53527E+15,0.1875,-0.1875,-1.3125,,,
1.53527E+15,0.3125,-0.75,-1.375,,,
1.53527E+15,-0.125,-1.375,-1,,,
1.53527E+15,1.5,-0.875,-0.75,,,
1.53527E+15,1.1875,-0.8125,0.0625,,,
1.53527E+15,-0.3125,-1.0625,0.5625,,,
1.53527E+15,0.625,-0.8125,0.125,,,
1.53527E+15,3.375,-0.4375,-0.625,,,
1.53527E+15,0.6875,-0.8125,-1.1875,,,
1.53527E+15,0.5,-0.75,-1.5625,,,
1.53527E+15,1.375,-0.6875,-1.875,,,
1.53527E+15,-0.5625,-1.625,-1.6875,,,
1.53527E+15,-0.75,-1.4375,-1,,,
1.53527E+15,1.0625,-1.1875,-0.8125,,,
1.53527E+15,0.8125,-1.8125,0,,,
1.53527E+15,1.3125,-1.625,0.25,,,
1.53527E+15,2.875,-1.4375,1,,,
1.53527E+15,1.4375,-1.6875,3.75,,,
1.53527E+15,1.8125,-1.6875,5.75,,,
1.53527E+15,5.3125,-1,7.5,,,
1.53527E+15,5.3125,-1.375,10.25,,,
1.53527E+15,1.9375,-2.125,12.5625,,,
1.53527E+15,-0.3125,-0.25,14.25,,,
1.53527E+15,1.125,0.0625,15.5625,,,
1.53527E+15,2.9375,-0.5,15.5625,,,
1.53527E+15,3.625,-0.5,16.3125,,,
1.53527E+15,2.8125,0.3125,16.625,,,
1.53527E+15,2.1875,0,16.125,,,
1.53527E+15,0.5,0.3125,15.4375,,,
1.53527E+15,1.0625,1,14.6875,,,
1.53527E+15,1.4375,0.5625,12.75,,,
1.53527E+15,1.4375,-0.1875,11.9375,,,
1.53527E+15,0.5625,-0.0625,10.6875,,,
1.53527E+15,-0.25,0.5,9.625,,,
1.53527E+15,0.25,0.5,8.0625,,,
1.53527E+15,0.4375,0.1875,6.875,,,
1.53527E+15,0.625,0,5.25,,,
1.53527E+15,1.75,-0.125,3.375,,,
1.53527E+15,1.625,-0.0625,1.6875,,,
1.53527E+15,0,-0.1875,0.4375,,,
1.53527E+15,-0.125,-1.0625,0.1875,,,
1.53527E+15,1.875,-1.9375,1.4375,,,
1.53527E+15,2.25,-2.625,3.8125,,,
1.53527E+15,3.25,-2.625,6.8125,,,
1.53527E+15,4.625,-3.125,10.625,,,
1.53527E+15,4.375,-3.875,15.25,,,
1.53527E+15,4.125,-3.75,19.5,,,
1.53527E+15,5.5625,-3.6875,23.75,,,
1.53527E+15,9.0625,-4.25,27.0625,,,
1.53527E+15,11.1875,-5.9375,30.25,,,
1.53527E+15,12.3125,-7.0625,32.75,,,
1.53527E+15,15.6875,-7.6875,34.75,,,
1.53527E+15,17.25,-6.9375,36.375,,,
1.53527E+15,14.75,-6,38.4375,,,
1.53527E+15,11.9375,-5.5,39.6875,,,
1.53527E+15,11.1875,-4.75,39.6875,,,
1.53527E+15,9.875,-2.125,39.9375,,,
1.53527E+15,11.6875,0.375,40.875,,,
1.53527E+15,12,-0.5,39.5,,,
1.53527E+15,10.875,-2.5,40.375,,,
1.53527E+15,10.375,-3.9375,42.4375,,,
1.53527E+15,10.5,-4.1875,43.0625,,,
1.53527E+15,13,-3.4375,43.3125,,,
1.53527E+15,12.4375,-3.375,43.625,,,
1.53527E+15,7.625,-3.5,45.4375,,,
1.53527E+15,5.4375,-2.625,47.1875,,,
1.53527E+15,7.3125,-1.375,47.125,,,
1.53527E+15,7.875,-2.5625,48,,,
1.53527E+15,7.4375,-3.625,49.25,,,
1.53527E+15,10.1875,-3.9375,49.9375,,,
1.53527E+15,11.625,-5.75,49.8125,,,
1.53527E+15,11,-7,50.0625,,,
1.53527E+15,9.0625,-7.8125,49.4375,,,
1.53527E+15,9.8125,-8.25,49.75,,,
1.53527E+15,11.8125,-6.875,49.5,,,
1.53527E+15,10,-6.8125,48.4375,,,
1.53527E+15,6.4375,-6.125,47.9375,,,
1.53527E+15,3.625,-4.625,46.9375,,,
1.53527E+15,2.4375,-4.875,46.1875,,,
1.53527E+15,4.25,-3.8125,45.125,,,
1.53527E+15,7,-3.4375,42.8125,,,
1.53527E+15,5.5625,-5.4375,42.5625,,,
1.53527E+15,3.5,-5.625,43.0625,,,
1.53527E+15,3.4375,-6.375,40.25,,,
1.53527E+15,4.8125,-7.25,40.25,,,
1.53527E+15,3.1875,-6.8125,40.875,,,
1.53527E+15,1.75,-6,38.6875,,,
1.53527E+15,4,-5.25,37.5625,,,
1.53527E+15,3.75,-5.5,37.25,,,
1.53527E+15,0.375,-6.6875,37.6875,,,
1.53527E+15,1.125,-6.125,36.8125,,,
1.53527E+15,2.5625,-6.125,35.3125,,,
1.53527E+15,2.4375,-6.0625,34.375,,,
1.53527E+15,4.125,-5.4375,34.1875,,,
1.53527E+15,2.75,-5.75,33.3125,,,
1.53527E+15,0.0625,-5.5625,32.375,,,
1.53527E+15,3,-4.0625,29.25,,,
1.53527E+15,4.375,-3.5625,27.25,,,
1.53527E+15,2.375,-4.0625,26.8125,,,
1.53527E+15,-0.5625,-2.8125,26.6875,,,
1.53527E+15,-2.1875,-2.5,27.25,,,
1.53527E+15,0.5,-1.75,26.3125,,,
1.53527E+15,-3,4.3125,28.125,,,
1.53527E+15,-4,4.6875,25.375,,,
1.53527E+15,6.4375,-0.8125,24.0625,,,
1.53527E+15,-6.125,-7.875,29.3125,,,
1.53527E+15,-1.75,0.5625,24.5625,,,
1.53527E+15,0.25,-6.75,26.1875,,,
1.53527E+15,2.0625,-5.3125,24.9375,,,
1.53527E+15,1.9375,-6.3125,24.125,,,
1.53527E+15,-0.4375,-7.25,24.0625,,,
1.53527E+15,-2,-7.8125,24.875,,,
1.53527E+15,-0.875,-8.6875,24.5625,,,
1.53527E+15,0.6875,-9.3125,24.0625,,,
1.53527E+15,0.0625,-8.375,23,,,
1.53527E+15,1.0625,-7.625,22.25,,,
1.53527E+15,1.125,-6.5625,23.25,,,
1.53527E+15,-1.4375,-5.5625,23.875,,,
1.53527E+15,-1.125,-6.3125,23,,,
1.53527E+15,-1.4375,-5.8125,22.0625,,,
1.53527E+15,0.375,-4.3125,22.25,,,
1.53527E+15,2.5625,-3.375,22.625,,,
1.53527E+15,-0.8125,-4.25,22.75,,,
1.53527E+15,-2.4375,-5.625,23.3125,,,
1.53527E+15,-2.8125,-6.3125,22.5625,,,
1.53527E+15,0.0625,-6.5,21.8125,,,
1.53527E+15,2,-7.5,20.625,,,
1.53527E+15,-1.4375,-8,19,,,
1.53527E+15,-4.3125,-7.125,19.5,,,
1.53527E+15,-3.3125,-5.5625,19.4375,,,
1.53527E+15,-2.5625,-3.625,18.6875,,,
1.53527E+15,-0.75,-3.625,17.75,,,
1.53527E+15,-1.5625,-5.5625,19.1875,,,
1.53527E+15,-5.6875,-7.5,22.5,,,
1.53527E+15,-5.9375,-9.5,23.125,,,
1.53527E+15,-2.9375,-9.375,21.5625,,,
1.53527E+15,-0.5,-9.25,19.9375,,,
1.53527E+15,0.5625,-9.9375,19.6875,,,
1.53527E+15,-1.75,-10.4375,19.625,,,
1.53527E+15,-5.3125,-9.0625,18.625,,,
1.53527E+15,-3,-7.375,17.375,,,
1.53527E+15,-1.125,-5.5625,17.1875,,,
1.53527E+15,-1.625,-4.4375,15.625,,,
1.53527E+15,-0.6875,-3.625,16.4375,,,
1.53527E+15,-2.5,-4.0625,15.75,,,
1.53527E+15,-1.9375,-3.5625,15.625,,,
1.53527E+15,-0.9375,-3.0625,14.1875,,,
1.53527E+15,-2,-3.5625,14.125,,,
1.53527E+15,-1.875,-4.25,13.1875,,,
1.53527E+15,-0.8125,-4.4375,13.25,,,
1.53527E+15,-1.125,-4.5625,13.4375,,,
1.53527E+15,-1.5625,-5.1875,12.1875,,,
1.53527E+15,-1.5625,-6.25,12.3125,,,
1.53527E+15,-3.4375,-6.625,12.3125,,,
1.53527E+15,-1.5,-5.25,10,,,
1.53527E+15,-0.4375,-4.4375,8.375,,,
1.53527E+15,-2,-4.625,6.875,,,
1.53527E+15,-1.125,-4.25,6.25,,,
1.53527E+15,-1.25,-3,4.6875,,,
1.53527E+15,0,-1.9375,3.9375,,,
1.53527E+15,-0.0625,-0.625,0.5625,,,
1.53527E+15,0.25,-0.125,-0.0625,,,
1.53527E+15,0.3125,-0.125,-1.75,,,
1.53527E+15,1.0625,2,-5.3125,,,
1.53527E+15,3.5,2.875,-9.4375,,,
1.53527E+15,4.5625,3.5,-11.9375,,,
1.53527E+15,2.75,3.625,-15.3125,,,
1.53527E+15,3.6875,4.5625,-19.75,,,
1.53527E+15,3,2.5,-24.6875,,,
1.53527E+15,1.875,3.3125,-28.4375,,,
1.53527E+15,1.75,7.8125,-27,,,
1.53527E+15,1.0625,11.375,-29.125,,,
1.53527E+15,1,11.8125,-30.8125,,,
1.53527E+15,1.1875,12.25,-33.75,,,
1.53527E+15,3.625,13.4375,-34.9375,,,
1.53527E+15,3.875,13.75,-35.75,,,
1.53527E+15,0.625,12.5,-35.375,,,
1.53527E+15,-1.8125,12.6875,-36.3125,,,
1.53527E+15,1.4375,13.6875,-37.3125,,,
1.53527E+15,4.8125,13.6875,-37.75,,,
1.53527E+15,3.125,12.125,-37.3125,,,
1.53527E+15,-0.625,10.6875,-36.625,,,
1.53527E+15,-1,10.5,-36.4375,,,
1.53527E+15,-0.125,10.375,-36,,,
1.53527E+15,-1.75,8.5,-35.5,,,
1.53527E+15,-2.25,7.875,-34.0625,,,
1.53527E+15,-1.375,7.625,-33.8125,,,
1.53527E+15,-0.25,8.6875,-33.0625,,,
1.53527E+15,1.4375,9.1875,-32.75,,,
1.53527E+15,0.25,7.9375,-33.75,,,
1.53527E+15,-1.6875,6.8125,-32.875,,,
1.53527E+15,-2.25,6.4375,-31.875,,,
1.53527E+15,-1,5.75,-31.5,,,
1.53527E+15,-0.125,6.0625,-32.1875,,,
1.53527E+15,-0.6875,6.0625,-33.3125,,,
1.53527E+15,0.875,5.875,-34.25,,,
1.53527E+15,-0.25,5.5625,-35.6875,,,
1.53527E+15,-4.25,3.4375,-35.3125,,,
1.53527E+15,-3.875,3.9375,-35.0625,,,
1.53527E+15,1.0625,7.125,-36.3125,,,
1.53527E+15,2.375,6.625,-38.3125,,,
1.53527E+15,-2.5,5.1875,-39.0625,,,
1.53527E+15,-6.6875,6.25,-39,,,
1.53527E+15,-3.9375,6.1875,-38.1875,,,
1.53527E+15,-2.25,5.625,-40.3125,,,
1.53527E+15,-0.8125,7.0625,-42,,,
1.53527E+15,-0.6875,6.1875,-41.1875,,,
1.53527E+15,-3.6875,4.0625,-39.5,,,
1.53527E+15,-5.3125,3.875,-37.75,,,
1.53527E+15,-2.625,5.125,-38.0625,,,
1.53527E+15,-0.5625,4.6875,-38.3125,,,
1.53527E+15,-2.625,3.5,-35.75,,,
1.53527E+15,-6.6875,3.6875,-34.1875,,,
1.53527E+15,-2.125,4.25,-34.5625,,,
1.53527E+15,-1.625,4.4375,-35.0625,,,
1.53527E+15,-3.0625,5.25,-34.625,,,
1.53527E+15,-5.25,5.8125,-33.4375,,,
1.53527E+15,-3.9375,6.375,-32.6875,,,
1.53527E+15,-5.125,5.4375,-33.8125,,,
1.53527E+15,-5.1875,5.8125,-33.25,,,
1.53527E+15,-4.625,5.6875,-33.8125,,,
1.53527E+15,-1.625,5.9375,-34.25,,,
1.53527E+15,-1.6875,4.9375,-35.3125,,,
1.53527E+15,-5.75,4,-34.875,,,
