timestamp,x,y,z,w
1535252457917436,-0.513306,-0.375732,0.506409,0.582153
1535252457941464,-0.513123,-0.375854,0.506287,0.582397
1535252457956505,-0.513,-0.375854,0.506042,0.582642
1535252457977560,-0.513,-0.376038,0.50592,0.582642
1535252458001624,-0.513184,-0.376648,0.505615,0.582336
1535252458016664,-0.513184,-0.376648,0.505554,0.582336
1535252458068802,-0.513,-0.376526,0.505615,0.582581
1535252458068802,-0.513062,-0.376343,0.505737,0.582581
1535252458077827,-0.513123,-0.376282,0.505859,0.582397
1535252458092424,-0.513184,-0.376038,0.506104,0.582336
1535252458106904,-0.513184,-0.376038,0.506104,0.582336
1535252458127961,-0.513184,-0.376038,0.506104,0.582336
1535252458152025,-0.513,-0.375977,0.506165,0.582458
1535252458180099,-0.513,-0.375977,0.506165,0.582458
1535252458191127,-0.513,-0.375793,0.506226,0.58252
1535252458210240,-0.513,-0.375854,0.506226,0.58252
1535252458233660,-0.513,-0.375854,0.506226,0.58252
1535252458247981,-0.513,-0.375854,0.506226,0.58252
1535252458278361,-0.513,-0.375854,0.506165,0.582458
1535252458285379,-0.512756,-0.375916,0.506104,0.582825
1535252458307756,-0.512573,-0.375977,0.505981,0.583008
1535252458329540,-0.512634,-0.376343,0.505737,0.582947
1535252458344538,-0.512634,-0.376343,0.505737,0.582947
1535252458367597,-0.512634,-0.376404,0.505737,0.582947
1535252458389656,-0.512634,-0.376404,0.505737,0.582947
1535252458404696,-0.512695,-0.376404,0.505737,0.582764
1535252458427758,-0.512695,-0.376099,0.50592,0.582825
1535252458449872,-0.512878,-0.375916,0.506042,0.582703
1535252458464856,-0.513123,-0.375793,0.506104,0.58252
1535252458487918,-0.513306,-0.375549,0.506104,0.582458
1535252458509977,-0.513611,-0.375305,0.506226,0.582275
1535252458526501,-0.513916,-0.375122,0.506348,0.582092
1535252458547075,-0.514282,-0.374939,0.50647,0.581726
1535252458578159,-0.514465,-0.374756,0.506531,0.581665
1535252458586288,-0.514282,-0.374451,0.506653,0.581848
1535252458607234,-0.51416,-0.37439,0.506714,0.58197
1535252458630297,-0.51416,-0.37439,0.506714,0.58197
1535252458646375,-0.514038,-0.374573,0.506531,0.582092
1535252458667394,-0.513977,-0.374756,0.506348,0.582214
1535252458690457,-0.513977,-0.374817,0.506348,0.582214
1535252458706500,-0.513977,-0.374817,0.506287,0.582214
1535252458727662,-0.514038,-0.374817,0.506287,0.582153
1535252458749657,-0.514038,-0.374817,0.506287,0.582153
1535252458766661,-0.514038,-0.374817,0.506287,0.582153
1535252458790723,-0.514038,-0.374817,0.506287,0.582153
1535252458809774,-0.514038,-0.374878,0.506287,0.582153
1535252458826847,-0.514282,-0.375,0.506165,0.58197
1535252458847875,-0.514404,-0.374817,0.506287,0.581848
1535252458869961,-0.514526,-0.374512,0.50647,0.581787
1535252458886073,-0.514893,-0.374268,0.506714,0.581421
1535252458907035,-0.515564,-0.374084,0.506897,0.580811
1535252458930125,-0.516296,-0.373718,0.507324,0.580017
1535252458948142,-0.516907,-0.372925,0.507935,0.579407
1535252458967193,-0.5177,-0.371704,0.508728,0.578796
1535252458990254,-0.518677,-0.370483,0.509583,0.578003
1535252459008302,-0.519836,-0.369141,0.510498,0.576965
1535252459027381,-0.520996,-0.367676,0.511536,0.575867
1535252459050415,-0.522034,-0.36615,0.512634,0.574951
1535252459067460,-0.522766,-0.364258,0.513855,0.574402
1535252459087515,-0.523621,-0.362488,0.514954,0.573792
1535252459109680,-0.524658,-0.361084,0.515747,0.572998
1535252459127620,-0.525696,-0.359924,0.516541,0.572083
1535252459147700,-0.526428,-0.358826,0.517273,0.571472
1535252459170736,-0.526855,-0.357727,0.517944,0.571167
1535252459194800,-0.527039,-0.356628,0.518494,0.571106
1535252459210013,-0.526978,-0.355835,0.519043,0.571228
1535252459230894,-0.526794,-0.355347,0.519348,0.57135
1535252459247096,-0.526672,-0.355164,0.519348,0.571594
1535252459270006,-0.526489,-0.355225,0.519226,0.571838
1535252459291055,-0.526367,-0.355591,0.518982,0.57196
1535252459307098,-0.526306,-0.356079,0.518616,0.572083
1535252459329955,-0.526123,-0.356628,0.51825,0.572266
1535252459350248,-0.525879,-0.3573,0.517822,0.572388
1535252459367258,-0.525574,-0.357971,0.517517,0.572571
1535252459390319,-0.525269,-0.358337,0.517517,0.572632
1535252459410400,-0.525024,-0.358704,0.517639,0.57251
1535252459427417,-0.524658,-0.358887,0.5177,0.572632
1535252459449515,-0.524536,-0.358459,0.518188,0.572571
1535252459473126,-0.52533,-0.357483,0.519226,0.571533
1535252459486575,-0.527161,-0.35614,0.520569,0.569397
1535252459509637,-0.529236,-0.353943,0.522156,0.567383
1535252459531697,-0.530945,-0.350037,0.524719,0.565918
1535252459546737,-0.533142,-0.345215,0.528015,0.563721
1535252459569949,-0.536316,-0.339783,0.531799,0.560486
1535252459591855,-0.540405,-0.333313,0.536194,0.556213
1535252459620931,-0.544739,-0.325806,0.541138,0.551636
1535252459629956,-0.549438,-0.317688,0.546265,0.546631
1535252459652096,-0.554382,-0.308838,0.551819,0.541077
1535252459673106,-0.559814,-0.299683,0.557617,0.534668
1535252459690117,-0.565002,-0.28949,0.564087,0.527954
1535252459720079,-0.569885,-0.278748,0.571106,0.520874
1535252459733232,-0.574707,-0.267822,0.578125,0.513489
1535252459749274,-0.579773,-0.256714,0.584839,0.505859
1535252459772336,-0.585205,-0.245117,0.591675,0.497314
1535252459793392,-0.590698,-0.233215,0.598572,0.488159
1535252459809435,-0.595886,-0.221069,0.605591,0.478821
1535252459832498,-0.600952,-0.208313,0.612854,0.468811
1535252459853551,-0.606262,-0.194946,0.620361,0.457825
1535252459870010,-0.611572,-0.181763,0.627808,0.445862
1535252459891652,-0.616455,-0.168701,0.634888,0.434143
1535252459912709,-0.621094,-0.154907,0.641235,0.423096
1535252459929754,-0.625366,-0.140808,0.647583,0.411926
1535252459951889,-0.629639,-0.126953,0.653992,0.399597
1535252459972869,-0.633789,-0.114441,0.660156,0.386536
1535252459989915,-0.636963,-0.101929,0.666138,0.374329
1535252460011973,-0.639099,-0.0892334,0.672302,0.362732
1535252460033314,-0.64093,-0.0767212,0.678162,0.351257
1535252460050074,-0.6427,-0.0662231,0.683533,0.3396
1535252460073138,-0.643738,-0.0557861,0.688721,0.328796
1535252460093219,-0.645081,-0.0454102,0.693298,0.317993
1535252460109232,-0.643311,-0.0377808,0.699646,0.308594
1535252460132350,-0.644897,-0.0286865,0.702942,0.298645
1535252460153353,-0.643555,-0.0214233,0.708191,0.289429
1535252460169392,-0.642273,-0.0147095,0.713013,0.280762
1535252460192454,-0.64093,-0.00854492,0.717834,0.271729
1535252460220646,-0.639282,-0.00244141,0.722717,0.262573
1535252460228668,-0.637573,0.00268555,0.727539,0.253357
1535252460252626,-0.635864,0.00701904,0.731873,0.244873
1535252460280853,-0.634033,0.0115967,0.736084,0.236694
1535252460288905,-0.631958,0.0159302,0.74054,0.227844
1535252460311798,-0.630188,0.0189209,0.744446,0.219604
1535252460332876,-0.62854,0.0221558,0.747742,0.212952
1535252460348870,-0.62677,0.0256348,0.750793,0.20697
1535252460372991,-0.625305,0.0281982,0.753479,0.201172
1535252460395042,-0.624207,0.0299683,0.755432,0.196838
1535252460409029,-0.623474,0.0321045,0.756592,0.194397
1535252460432093,-0.622986,0.0339966,0.757202,0.193176
1535252460455158,-0.622864,0.034668,0.757263,0.193359
1535252460476214,-0.622925,0.034668,0.756714,0.19519
1535252460492252,-0.623291,0.0341187,0.755493,0.199036
1535252460515056,-0.623718,0.0326538,0.753845,0.203918
1535252460535370,-0.62439,0.0303955,0.751892,0.209351
1535252460552411,-0.625244,0.0270996,0.749573,0.215454
1535252460574470,-0.626221,0.0227051,0.746887,0.222351
1535252460595563,-0.62738,0.017334,0.743774,0.230042
1535252460612574,-0.628906,0.010437,0.739685,0.239136
1535252460634639,-0.630371,0.00244141,0.735046,0.249512
