timestamp,roll,pitch,yaw
1535264504799243,-1.34761,-0.0739793,1.33653
1535264504820772,-1.34791,-0.0740016,1.33696
1535264504843391,-1.34704,-0.0747719,1.33774
1535264504858600,-1.34752,-0.0748921,1.33893
1535264504882002,-1.34667,-0.0747756,1.34043
1535264504903506,-1.34436,-0.0747488,1.342
1535264504926053,-1.34532,-0.0738939,1.34391
1535264504970672,-1.34754,-0.0721582,1.34671
1535264504980198,-1.34552,-0.0719131,1.3493
1535264504988720,-1.3423,-0.0716913,1.3515
1535264504998746,-1.34326,-0.0708038,1.35376
1535264505015791,-1.34516,-0.069498,1.3559
1535264505032335,-1.34482,-0.06874,1.35722
1535264505058906,-1.34298,-0.0681634,1.35928
1535264505083472,-1.34094,-0.0682847,1.36232
1535264505095700,-1.34166,-0.06891,1.36433
1535264505114053,-1.34245,-0.0684876,1.36489
1535264505136612,-1.33971,-0.066982,1.36441
1535264505150650,-1.3355,-0.0646462,1.3633
1535264505173211,-1.33254,-0.0611297,1.36169
1535264505195935,-1.33143,-0.0581166,1.36015
1535264505210903,-1.33279,-0.0572592,1.35914
1535264505233373,-1.33411,-0.0576434,1.35856
1535264505255930,-1.33499,-0.0587058,1.35883
1535264505277988,-1.33674,-0.0607138,1.36021
1535264505293029,-1.33576,-0.0627124,1.36133
1535264505315589,-1.33282,-0.0642087,1.36252
1535264505330784,-1.33201,-0.0649793,1.36383
1535264505353277,-1.33186,-0.0660014,1.36532
1535264505375749,-1.3311,-0.0665541,1.36644
1535264505390789,-1.33085,-0.0677426,1.36724
1535264505413349,-1.33136,-0.068023,1.36833
1535264505435944,-1.33109,-0.0681628,1.36924
1535264505450949,-1.32972,-0.0679791,1.37036
1535264505473010,-1.32751,-0.0685689,1.37191
1535264505504592,-1.32574,-0.0691793,1.37321
1535264505510608,-1.32555,-0.069646,1.37407
1535264505533168,-1.32524,-0.0703018,1.37516
1535264505555764,-1.32404,-0.0710089,1.3763
1535264505570767,-1.32422,-0.0713816,1.37671
1535264505593339,-1.32478,-0.0713114,1.3768
1535264505615947,-1.32501,-0.0711985,1.37668
1535264505630987,-1.32402,-0.0715426,1.37627
1535264505653045,-1.3227,-0.0718699,1.3753
1535264505675615,-1.32228,-0.0719839,1.37452
1535264505690671,-1.32291,-0.0727186,1.37396
1535264505713231,-1.32353,-0.0736686,1.37372
1535264505735839,-1.32347,-0.074718,1.37316
1535264505753839,-1.32419,-0.0755322,1.37328
1535264505773391,-1.32427,-0.0755872,1.3736
1535264505795950,-1.32368,-0.0748204,1.37337
1535264505818010,-1.32325,-0.0731103,1.37275
1535264505833077,-1.32301,-0.0711206,1.37196
1535264505855609,-1.32332,-0.0689593,1.37067
